epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.235,1.83019,2.65038,1.74409,0.2799,0.34655,0.19986,0.07862,1.99797,2.88505,1.94899,0.000554782,0.000554782,0.000554782
2,242.084,1.87696,2.18539,1.74337,0.30334,0.33025,0.21916,0.08594,2.07136,2.35055,1.92642,0.0010738,0.0010738,0.0010738
3,363.314,1.8636,2.07054,1.73712,0.41375,0.3725,0.29316,0.11757,2.02796,2.07066,1.91811,0.00155615,0.00155615,0.00155615
4,484.122,1.8167,1.98025,1.69605,0.36941,0.44358,0.31244,0.14332,1.87434,1.93528,1.7979,0.00150197,0.00150197,0.00150197
5,605.519,1.76252,1.86666,1.66131,0.39402,0.43179,0.33978,0.16168,1.82385,1.80451,1.74344,0.00144696,0.00144696,0.00144696
6,722.416,1.71482,1.78866,1.62921,0.47378,0.44822,0.40861,0.19906,1.77655,1.76209,1.71308,0.00139195,0.00139195,0.00139195
7,840.613,1.69816,1.71477,1.59413,0.55329,0.44256,0.45097,0.21809,1.76754,1.54641,1.66549,0.00133693,0.00133693,0.00133693
8,955.698,1.66126,1.63728,1.57123,0.52801,0.48745,0.44927,0.2264,1.69757,1.5861,1.66544,0.00128192,0.00128192,0.00128192
9,1074.99,1.64676,1.59916,1.5617,0.43449,0.48464,0.36357,0.17405,1.73255,1.71865,1.65868,0.00122691,0.00122691,0.00122691
10,1199.92,1.61338,1.53458,1.54076,0.45712,0.45402,0.33273,0.16774,1.66505,1.82337,1.58709,0.0011719,0.0011719,0.0011719
11,1322.59,1.60233,1.50077,1.52323,0.57666,0.5068,0.49998,0.256,1.65269,1.39568,1.57076,0.00111689,0.00111689,0.00111689
12,1450.25,1.58299,1.47029,1.52022,0.75908,0.53389,0.6337,0.33608,1.60723,1.25062,1.5521,0.00106188,0.00106188,0.00106188
13,1581.36,1.56666,1.42834,1.50967,0.5856,0.54747,0.53071,0.27691,1.61013,1.3483,1.5592,0.00100687,0.00100687,0.00100687
14,1709.08,1.54725,1.38861,1.48764,0.53167,0.53023,0.45142,0.23244,1.58214,1.47131,1.52898,0.000951857,0.000951857,0.000951857
15,1833.5,1.5184,1.35108,1.4682,0.58504,0.57722,0.54937,0.28697,1.55984,1.26997,1.51821,0.000896846,0.000896846,0.000896846
16,1956.48,1.50413,1.32978,1.46079,0.52074,0.53552,0.443,0.23363,1.57131,1.48889,1.51761,0.000841835,0.000841835,0.000841835
17,2079.72,1.48868,1.29398,1.4453,0.49609,0.52058,0.40521,0.22039,1.52259,1.57864,1.48364,0.000786824,0.000786824,0.000786824
18,2203.27,1.46222,1.25409,1.43741,0.72797,0.60364,0.69108,0.37948,1.48715,1.09551,1.44901,0.000731813,0.000731813,0.000731813
19,2328.2,1.4639,1.24583,1.42645,0.61122,0.57819,0.5904,0.32837,1.47895,1.16714,1.44897,0.000676802,0.000676802,0.000676802
20,2449.93,1.4531,1.2273,1.42349,0.531,0.55851,0.45196,0.2481,1.48217,1.44137,1.43868,0.000621791,0.000621791,0.000621791
21,2587.01,1.46735,1.12797,1.45434,0.5068,0.57373,0.41924,0.23501,1.43173,1.54138,1.41832,0.00056678,0.00056678,0.00056678
22,2702.17,1.42657,1.07404,1.42537,0.77789,0.59935,0.69619,0.40102,1.41268,1.02358,1.39501,0.000511769,0.000511769,0.000511769
23,2820.26,1.4087,1.05086,1.41506,0.58043,0.63602,0.59732,0.35246,1.38859,1.10608,1.39826,0.000456758,0.000456758,0.000456758
24,2936.9,1.38267,1.01655,1.39752,0.71728,0.61924,0.7074,0.41791,1.3877,0.99164,1.38712,0.000401747,0.000401747,0.000401747
25,3053.62,1.3617,0.98135,1.38094,0.62091,0.64374,0.62482,0.37522,1.35508,1.05994,1.36626,0.000346736,0.000346736,0.000346736
26,3167.47,1.33913,0.94663,1.36525,0.54207,0.64756,0.50299,0.29514,1.34728,1.25335,1.35355,0.000291725,0.000291725,0.000291725
27,3281.2,1.3134,0.91951,1.34613,0.54696,0.61839,0.48897,0.28983,1.347,1.26979,1.35539,0.000236714,0.000236714,0.000236714
28,3395.57,1.29648,0.89488,1.33801,0.63472,0.65657,0.63559,0.38566,1.32214,0.99739,1.33911,0.000181703,0.000181703,0.000181703
29,3507.58,1.27688,0.87779,1.31694,0.62897,0.64703,0.62711,0.38605,1.30964,1.02416,1.32563,0.000126692,0.000126692,0.000126692
30,3620.32,1.25603,0.85622,1.30439,0.63558,0.65573,0.65615,0.40886,1.29851,0.98429,1.31751,7.1681e-05,7.1681e-05,7.1681e-05
