epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1264,2.12134,3.3522,2.04264,0.00588,0.61032,0.02659,0.00609,2.44078,3.63382,2.12236,0.00013336,0.00013336,0.00013336
2,78.8035,2.07998,3.09209,2.01795,0.00569,0.6004,0.04237,0.01446,2.4705,3.64447,2.19156,0.000277779,0.000277779,0.000277779
3,116.343,2.0144,2.76694,1.97361,0.0064,0.64246,0.09477,0.02904,2.29704,3.51979,2.21359,0.000416257,0.000416257,0.000416257
4,152.4,1.98676,2.65446,1.95299,0.00699,0.71032,0.05105,0.01355,2.23259,3.45001,2.2046,0.000548793,0.000548793,0.000548793
5,188.175,1.91299,2.56778,1.88382,0.16461,0.09365,0.066,0.01827,2.34369,3.42128,2.41362,0.000675388,0.000675388,0.000675388
6,227.612,1.9263,2.55948,1.88502,0.16723,0.09246,0.07814,0.01676,2.29827,3.35619,2.39994,0.000796043,0.000796043,0.000796043
7,262.973,1.80903,2.52511,1.85869,0.05256,0.05556,0.05833,0.01368,2.41593,3.38504,2.53757,0.000910755,0.000910755,0.000910755
8,298.367,1.89839,2.50796,1.91261,0.06399,0.0746,0.02548,0.0061,2.50357,3.70798,2.69489,0.00101953,0.00101953,0.00101953
9,334.544,1.91412,2.47386,1.8899,0.09544,0.09127,0.04521,0.01189,2.47809,3.64825,2.89235,0.00112236,0.00112236,0.00112236
10,369.302,1.91326,2.46252,1.9508,0.09794,0.19286,0.05969,0.01809,2.44786,3.7088,2.8316,0.00121925,0.00121925,0.00121925
11,404.383,1.88703,2.43631,1.94073,0.08779,0.22183,0.05772,0.01794,2.49845,3.96997,2.84646,0.0013102,0.0013102,0.0013102
12,438.811,1.86281,2.35476,1.86776,0.1903,0.19603,0.12172,0.04578,2.46205,3.33169,2.64076,0.00130393,0.00130393,0.00130393
13,474.871,1.88874,2.34028,1.87521,0.25566,0.20397,0.12572,0.04006,2.39467,3.53334,2.6588,0.00127092,0.00127092,0.00127092
14,510.461,1.8888,2.29884,1.869,0.21328,0.18487,0.13807,0.04998,2.4921,4.36792,2.67395,0.00123791,0.00123791,0.00123791
15,545.214,1.86994,2.28644,1.83835,0.18001,0.24484,0.11677,0.04557,2.4725,4.41851,2.585,0.00120491,0.00120491,0.00120491
16,579.921,1.87198,2.30187,1.86787,0.13816,0.21944,0.07217,0.02278,2.41787,3.64926,2.4873,0.0011719,0.0011719,0.0011719
17,615.311,1.8567,2.23497,1.85037,0.14844,0.19921,0.08884,0.02768,2.26034,3.29294,2.44122,0.00113889,0.00113889,0.00113889
18,650.313,1.80392,2.20516,1.84535,0.16033,0.25913,0.13127,0.05018,2.26157,3.10136,2.42151,0.00110589,0.00110589,0.00110589
19,684.977,1.76954,2.18119,1.80087,0.15402,0.20476,0.08995,0.02765,2.31237,3.04704,2.40205,0.00107288,0.00107288,0.00107288
20,720.071,1.7411,2.15378,1.81207,0.20886,0.22817,0.13241,0.0323,2.31075,2.87941,2.43616,0.00103987,0.00103987,0.00103987
21,757.393,1.72319,2.06462,1.76142,0.22803,0.17355,0.10701,0.02884,2.26862,3.00711,2.35816,0.00100687,0.00100687,0.00100687
22,796.637,1.70288,2.08975,1.74489,0.6341,0.12778,0.08753,0.02659,2.24272,2.9286,2.29363,0.000973861,0.000973861,0.000973861
23,831.8,1.72774,2.04608,1.72807,0.22136,0.20913,0.13098,0.03901,2.26389,2.88121,2.31284,0.000940855,0.000940855,0.000940855
24,866.649,1.69571,2.05167,1.71191,0.22719,0.22143,0.13439,0.04742,2.21969,2.72359,2.31278,0.000907848,0.000907848,0.000907848
25,901.615,1.67411,2.03684,1.73649,0.17571,0.26879,0.1654,0.06447,2.14965,2.88665,2.26873,0.000874842,0.000874842,0.000874842
26,936.523,1.66851,1.99528,1.71259,0.50839,0.20397,0.23574,0.07704,2.20726,2.88129,2.29857,0.000841835,0.000841835,0.000841835
27,971.156,1.63744,1.93456,1.66766,0.27276,0.30516,0.22466,0.07631,2.25925,2.83749,2.35083,0.000808828,0.000808828,0.000808828
28,1005.8,1.62444,1.92814,1.68159,0.27663,0.21944,0.1968,0.07279,2.26558,2.74043,2.40243,0.000775822,0.000775822,0.000775822
29,1041.55,1.5922,1.8839,1.68032,0.40062,0.18056,0.21341,0.06495,2.27263,2.74641,2.42917,0.000742815,0.000742815,0.000742815
